_id,createdAt,name,pollingStation,updatedAt
6028b10cbe48b504bc4f6160,2021-02-14T05:11:40.546Z,P-Z,6028a6c3be48b504bc4f610a,2021-02-14T05:11:40.546Z
6028b11bbe48b504bc4f6161,2021-02-14T05:11:55.076Z,A-E,6028a6f9be48b504bc4f610b,2021-02-14T05:11:55.076Z
6028b121be48b504bc4f6162,2021-02-14T05:12:01.487Z,F-J,6028a6f9be48b504bc4f610b,2021-02-14T05:12:01.487Z
6028b126be48b504bc4f6163,2021-02-14T05:12:06.335Z,K-Z,6028a6f9be48b504bc4f610b,2021-02-14T05:12:06.335Z
6028b137be48b504bc4f6164,2021-02-14T05:12:23.156Z,A-B,6028a71abe48b504bc4f610c,2021-02-14T05:12:23.156Z
6028b13cbe48b504bc4f6165,2021-02-14T05:12:28.574Z,C-D,6028a71abe48b504bc4f610c,2021-02-14T05:12:28.574Z
6028b141be48b504bc4f6166,2021-02-14T05:12:33.434Z,E-G,6028a71abe48b504bc4f610c,2021-02-14T05:12:33.434Z
6028b14abe48b504bc4f6167,2021-02-14T05:12:42.775Z,H-JOY,6028a71abe48b504bc4f610c,2021-02-14T05:12:42.775Z
6028b157be48b504bc4f6168,2021-02-14T05:12:55.688Z,JUL-L,6028a731be48b504bc4f610d,2021-02-14T05:12:55.688Z
6028b160be48b504bc4f6169,2021-02-14T05:13:04.540Z,M-O,6028a731be48b504bc4f610d,2021-02-14T05:13:04.540Z
6028b166be48b504bc4f616a,2021-02-14T05:13:10.481Z,P-R,6028a731be48b504bc4f610d,2021-02-14T05:13:10.481Z
6028b16cbe48b504bc4f616b,2021-02-14T05:13:16.291Z,S-Z,6028a731be48b504bc4f610d,2021-02-14T05:13:16.291Z
6028ca11be48b504bc4f616c,2021-02-14T06:58:25.098Z,A-CHAR,6028a52bbe48b504bc4f60ff,2021-02-14T06:58:25.098Z
6028ca1cbe48b504bc4f616d,2021-02-14T06:58:36.409Z,CHAS-E,6028a52bbe48b504bc4f60ff,2021-02-14T06:58:36.409Z
6028ca23be48b504bc4f616e,2021-02-14T06:58:43.466Z,F-JN,6028a52bbe48b504bc4f60ff,2021-02-14T06:58:43.466Z
