_id,candidate1,candidate1Party,candidate1Votes,candidate2,candidate2Party,candidate2Votes,candidate3,candidate3Party,candidate3Votes,comments,createdAt,district,pollingStation,registeredVoters,rejectedVotes,section,updatedAt,votesCast,year
60331dd30e7c9e39bc0aabc6,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,41,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,64,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T02:58:27.407Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,205,0,6028ae51be48b504bc4f6140,2021-02-22T02:58:27.407Z,105,2016
60331e750e7c9e39bc0aabc7,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,116,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,129,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,4,"",2021-02-22T03:01:09.303Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,498,2,6028ae5fbe48b504bc4f6141,2021-02-22T03:01:09.303Z,251,2016
60331ea50e7c9e39bc0aabc8,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,88,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,140,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T03:01:57.736Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,496,10,6028ae68be48b504bc4f6142,2021-02-22T03:01:57.736Z,240,2016
60331ee90e7c9e39bc0aabc9,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,93,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,119,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T03:03:05.932Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,419,2,6028ae6fbe48b504bc4f6143,2021-02-22T03:03:05.932Z,215,2016
60331f1b0e7c9e39bc0aabca,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,102,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,104,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T03:03:55.699Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,413,1,6028ae76be48b504bc4f6144,2021-02-22T03:03:55.699Z,209,2016
603320bb0e7c9e39bc0aabcb,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,90,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,104,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T03:10:51.110Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,429,0,6028ae7dbe48b504bc4f6145,2021-02-22T03:10:51.110Z,194,2016
603321640e7c9e39bc0aabcc,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,90,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,104,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T03:13:40.456Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,389,0,6028ae8dbe48b504bc4f6146,2021-02-22T03:13:40.456Z,194,2016
603321aa0e7c9e39bc0aabcd,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,114,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,136,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,3,"",2021-02-22T03:14:50.239Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,502,3,6028ae95be48b504bc4f6147,2021-02-22T03:14:50.239Z,256,2016
603321de0e7c9e39bc0aabce,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,96,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,133,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T03:15:42.118Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,455,4,6028ae99be48b504bc4f6148,2021-02-22T03:15:42.118Z,235,2016
603322090e7c9e39bc0aabcf,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,104,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,102,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T03:16:25.783Z,60171762d7a5c51dc8e3eefe,6028a8e5be48b504bc4f6115,425,2,6028aea6be48b504bc4f6149,2021-02-22T03:16:25.783Z,210,2016
